company,year,status,tif
中国石化山东泰山石油股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\中国石化山东泰山石油股份有限公司_2021_rgb.tif
恒力石化股份有限公司（恒力石化（大连）有限公司19）,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\恒力石化股份有限公司恒力石化大连有限公司19_2019_rgb.tif
恒力石化股份有限公司（恒力石化（大连）有限公司19）,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\恒力石化股份有限公司恒力石化大连有限公司19_2021_rgb.tif
荣盛石化股份有限公司（逸盛大化石化有限公司19）,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\荣盛石化股份有限公司逸盛大化石化有限公司19_2019_rgb.tif
荣盛石化股份有限公司（逸盛大化石化有限公司19）,2021,Batch job 'j-26060816523445f3b6eff1102256b546' didn't finish successfully. Status: error (after 0:01:47).,
上海石油化工股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\上海石油化工股份有限公司_2019_rgb.tif
上海石油化工股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\上海石油化工股份有限公司_2021_rgb.tif
中泰化学股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\中泰化学股份有限公司_2019_rgb.tif
中泰化学股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\中泰化学股份有限公司_2021_rgb.tif
卫星化学股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\卫星化学股份有限公司_2019_rgb.tif
卫星化学股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\卫星化学股份有限公司_2021_rgb.tif
鲁西化工集团股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\鲁西化工集团股份有限公司_2019_rgb.tif
鲁西化工集团股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\鲁西化工集团股份有限公司_2021_rgb.tif
沧州大化股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\沧州大化股份有限公司_2019_rgb.tif
沧州大化股份有限公司,2021,Batch job 'j-2606081730394eeaa503ada12a90e927' didn't finish successfully. Status: error (after 0:06:19).,
三友化工股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\三友化工股份有限公司_2019_rgb.tif
三友化工股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\三友化工股份有限公司_2021_rgb.tif
湖北宜化化工股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\湖北宜化化工股份有限公司_2019_rgb.tif
湖北宜化化工股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\湖北宜化化工股份有限公司_2021_rgb.tif
