code,year,index,mean,std,min,max,p10,p90,valid_pixels,status,name,industry,group
600456,2021,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,宝鸡钛业股份有限公司,有色,独立测试集
600497,2019,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,云南驰宏锌锗股份有限公司,有色,绿色
600497,2019,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,云南驰宏锌锗股份有限公司,有色,绿色
600497,2021,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,云南驰宏锌锗股份有限公司,有色,绿色
600497,2021,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,云南驰宏锌锗股份有限公司,有色,绿色
600531,2019,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,河南豫光金铅股份有限公司23,有色,绿色
600531,2019,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,河南豫光金铅股份有限公司23,有色,绿色
600531,2021,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,河南豫光金铅股份有限公司23,有色,绿色
600531,2021,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,河南豫光金铅股份有限公司23,有色,绿色
601600,2019,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中国铝业股份有限公司（广西18）,有色,争议
601600,2019,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中国铝业股份有限公司（广西18）,有色,争议
601600,2021,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中国铝业股份有限公司（广西18）,有色,争议
601600,2021,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中国铝业股份有限公司（广西18）,有色,争议
000912,2019,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,四川泸天化股份有限公司,石化,绿色
